Nutrient, Amount, Unit
Calories,274, KCAL
Fat,11.63, G
Protein,12.23, G
Carbohydrate,30, G
Choline,17.3, MG
Betaine,26.9, MG
Sucrose,0, G
Glucose (dextrose),0.4, G
Maltose,1.1, G
Water,43.37, G
Sugars,2.9, G
"Calcium, Ca",238, MG
"Potassium, K",229, MG
"Zinc, Zn",1.49, MG
"Selenium, Se",16, UG
Vitamin E,0.67, MG
Lutein + zeaxanthin,45, UG
"Tocopherol, beta",0.06, MG
"Tocopherol, gamma",0.89, MG
"Tocotrienol, alpha",0, MG
"Tocotrienol, beta",0.22, MG
Niacin,3.763, MG
Pantothenic acid,0.45, MG
Vitamin B6,0.119, MG
Isoleucine,0.573, G
Leucine,1.07, G
Lysine,0.593, G
Valine,0.707, G
Arginine,0.44, G
Histidine,0.315, G
Aspartic acid,0.812, G
Serine,0.583, G
Butanoic acid,0.175, G
Hexanoic acid,0.143, G
Decanoic acid,0.233, G
Hexadecanoic acid,2.82, G
Octadecanoic acid,0.997, G
Eicosanoic acid,0.02, G
Octadecenoic acid,2.463, G
Octadecadienoic acid,1.348, G
Octadecatrienoic acid,0.155, G
Eicosatetraenoic acid,0.017, G
Octadecatetraenoic acid,0, G
Eicosenoic acid,0.027, G
Docosenoic acid,0.001, G
Monounsaturated fatty acids,2.771, G
Polyunsaturated fatty acids,1.547, G
Pentadecanoic acid,0.096, G
Trans-octadecenoic acid,0.19, G
Docosenoic trans acid,0, G
Trans-octadecadienoic acid,0.072, G
Octadecadienoic CLAs acid,0.042, G
"Cis,cis-eicosadienoic n-6 acid",0.003, G
Cis-hexadecenoic acid,0.139, G
"Cis,cis,cis-octadecatrienoic n-6 acid",0.004, G
Eicosadienoic acid,0.011, G
"Fatty acids, total trans-polyenoic",0.073, G
Eicosadienoic n-6 acid,0.011, G
Tetracosenoic cis acid,0, G
Cis-octadecenoic acid,2.273, G
"Cis,cis-octadecadienoic n-6 acid",1.234, G
Docosenoic cis acid,0.001, G
Heptadecenoic acid,0.019, G
"Fatty acids, total trans-monoenoic",0.22, G
Pentadecenoic acid,0, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)",0.15, G
Eicosadienoic n-3 acid,0, G
Trans-octadecatrienoic acid,0.001, G
Docosatetraenoic acid,0.004, G
Ash,2.76, G
Starch,23.7, G
Fructose,0.67, G
Lactose,0.6, G
Galactose,0.13, G
Fiber,1.7, G
"Iron, Fe",2.04, MG
"Magnesium, Mg",22, MG
"Phosphorus, P",249, MG
"Sodium, Na",615, MG
"Copper, Cu",0.081, MG
"Manganese, Mn",0.351, MG
Vitamin A,511, IU
Retinol,110, UG
"Vitamin A, RAE",117, UG
"Carotene, beta",87, UG
"Carotene, alpha",1, UG
"Cryptoxanthin, beta",0, UG
Lycopene,935, UG
"Tocopherol, delta",0.3, MG
"Tocotrienol, gamma",0, MG
"Tocotrienol, delta",0, MG
Vitamin C,3.1, MG
Thiamin,0.323, MG
Riboflavin,0.333, MG
Folate,90, UG
Vitamin B12,0.4, UG
Tryptophan,0.124, G
Threonine,0.392, G
Methionine,0.268, G
Phenylalanine,0.64, G
Tyrosine,0.401, G
Alanine,0.382, G
Glutamic acid,3.393, G
Glycine,0.306, G
Proline,1.739, G
Hydroxyproline,0, G
Cholesterol,30, MG
"Fatty acids, total trans",0.292, G
Saturated fatty acids,5.825, G
Octanoic acid,0.091, G
Dodecanoic acid,0.275, G
Tetradecanoic acid,0.898, G
Docosahexaenoic n-3 acid (DHA),0, G
Docosanoic acid,0.012, G
Tetradecenoic acid,0.092, G
Hexadecenoic acid,0.168, G
Eicosapentaenoic n-3 acid (EPA),0, G
Docosapentaenoic n-3 acid (DPA),0.01, G
Heptadecanoic acid,0.059, G
Tetracosanoic acid,0.008, G
Trans-hexadecenoic acid,0.03, G
"Tocopherol, alpha",0.67, MG
Vitamin D,0,MG
Vitamin K,0,MG
"Fluoride, F",0,MG
