Nutrient, Amount, Unit
Calories,130, KCAL
Fat,0.28, G
Protein,2.69, G
Carbohydrate,28.17, G
Caffeine,0, MG
Theobromine,0, MG
Eicosapentaenoic n-3 acid (EPA),0, G
Docosapentaenoic n-3 acid (DPA),0, G
Octanoic acid,0, G
Dodecanoic acid,0, G
Docosahexaenoic n-3 acid (DHA),0, G
Butanoic acid,0, G
Hexanoic acid,0, G
Decanoic acid,0, G
Eicosatetraenoic acid,0, G
Octadecatetraenoic acid,0, G
Eicosenoic acid,0, G
Docosenoic acid,0, G
"Carotene, beta",0, UG
"Carotene, alpha",0, UG
"Cryptoxanthin, beta",0, UG
Lycopene,0, UG
Vitamin K,0, UG
Sugars,0.05, G
Lutein + zeaxanthin,0, UG
Vitamin E,0.04, MG
"Vitamin D (D2 + D3), International Units",0, IU
"Alcohol, ethyl",0, G
Folic acid,55, UG
Retinol,0, UG
Folate,58, UG
"Vitamin E, added",0, MG
"Vitamin B12, added",0, UG
Ash,0.41, G
Fiber,0.4, G
"Iron, Fe",1.2, MG
"Magnesium, Mg",12, MG
"Phosphorus, P",43, MG
"Sodium, Na",382, MG
"Copper, Cu",0.069, MG
"Manganese, Mn",0.472, MG
Vitamin A,0, IU
Cholesterol,0, MG
Saturated fatty acids,0.077, G
Vitamin B12,0, UG
Hexadecenoic acid,0.001, G
Tetradecanoic acid,0.002, G
Vitamin C,0, MG
Thiamin,0.163, MG
Riboflavin,0.013, MG
"Folate, food",3, UG
Tryptophan,0.031, G
Threonine,0.096, G
Methionine,0.063, G
Phenylalanine,0.144, G
Tyrosine,0.09, G
Alanine,0.156, G
Glutamic acid,0.524, G
Glycine,0.122, G
Proline,0.127, G
Water,68.44, G
"Calcium, Ca",10, MG
"Potassium, K",35, MG
"Zinc, Zn",0.49, MG
Niacin,1.476, MG
Pantothenic acid,0.39, MG
Vitamin B6,0.093, MG
Isoleucine,0.116, G
Leucine,0.222, G
Lysine,0.097, G
Cystine,0.055, G
Valine,0.164, G
Arginine,0.224, G
Histidine,0.063, G
Aspartic acid,0.253, G
Serine,0.141, G
Monounsaturated fatty acids,0.088, G
Polyunsaturated fatty acids,0.076, G
Hexadecanoic acid,0.069, G
Octadecanoic acid,0.005, G
Octadecenoic acid,0.087, G
Octadecadienoic acid,0.062, G
Octadecatrienoic acid,0.013, G
Vitamin D,0, UG
"Selenium, Se",7.5, UG
"Vitamin A, RAE",0, UG
Choline,2.1, MG
"Folate, DFE",97, UG
"Tocopherol, alpha",0.04, MG
"Fluoride, F",0,MG
